Angle (degrees),Angle (rads),Perpendicular Power (mW),Parallel Power (mW),,sum of perpendicular and parallel (mW),Normalized Perp,Normalized Parallel
0,0,0.1793,0.2204,,0.3997,0.44858644,0.55141356
5,0.087266463,0.2406,0.1879,,0.4285,0.561493582,0.438506418
10,0.174532925,0.3134,0.149,,0.4624,0.677768166,0.322231834
15,0.261799388,0.3619,0.1234,,0.4853,0.745724294,0.254275706
20,0.34906585,0.4619,0.0701,,0.532,0.868233083,0.131766917
25,0.436332313,0.4954,0.0521,,0.5475,0.904840183,0.095159817
30,0.523598776,0.5435,0.0271,,0.5706,0.952506134,0.047493866
35,0.610865238,0.5582,0.0192,,0.5774,0.966747489,0.033252511
40,0.698131701,0.5469,0.0249,,0.5718,0.956453305,0.043546695
45,0.785398163,0.508,0.046,,0.554,0.916967509,0.083032491
50,0.872664626,0.449,0.0773,,0.5263,0.853125594,0.146874406
55,0.959931089,0.3962,0.1057,,0.5019,0.789400279,0.210599721
60,1.047197551,0.295,0.1599,,0.4549,0.648494175,0.351505825
65,1.134464014,0.2021,0.2096,,0.4117,0.490891426,0.509108574
70,1.221730476,0.0945,0.2674,,0.3619,0.261121857,0.738878143
75,1.308996939,0.0569,0.2885,,0.3454,0.164736537,0.835263463
80,1.396263402,0.0192,0.3092,,0.3284,0.058465286,0.941534714
85,1.483529864,0.0192,0.3101,,0.3293,0.058305497,0.941694503
90,1.570796327,0.0477,0.2969,,0.3446,0.138421358,0.861578642
95,1.658062789,0.1201,0.2602,,0.3803,0.315803313,0.684196687
100,1.745329252,0.1941,0.2219,,0.416,0.466586538,0.533413462
105,1.832595715,0.2669,0.1834,,0.4503,0.592715967,0.407284033
110,1.919862177,0.3716,0.1288,,0.5004,0.742605915,0.257394085
115,2.00712864,0.4586,0.0834,,0.542,0.846125461,0.153874539
120,2.094395102,0.5293,0.0457,,0.575,0.920521739,0.079478261
125,2.181661565,0.5737,0.0213,,0.595,0.964201681,0.035798319
130,2.268928028,0.5812,0.0168,,0.598,0.971906355,0.028093645
135,2.35619449,0.5628,0.0252,,0.588,0.957142857,0.042857143
140,2.443460953,0.5084,0.0517,,0.5601,0.907695054,0.092304946
145,2.530727415,0.4573,0.077,,0.5343,0.855886206,0.144113794
150,2.617993878,0.3649,0.124,,0.4889,0.746369401,0.253630599
155,2.705260341,0.2992,0.1572,,0.4564,0.655565294,0.344434706
160,2.792526803,0.2289,0.1927,,0.4216,0.542931689,0.457068311
165,2.879793266,0.1853,0.2147,,0.4,0.46325,0.53675
170,2.967059728,0.1535,0.2294,,0.3829,0.40088796,0.59911204
175,3.054326191,0.1447,0.2334,,0.3781,0.382702989,0.617297011
180,3.141592654,0.1615,0.2243,,0.3858,0.418610679,0.581389321
185,3.228859116,0.1941,0.2059,,0.4,0.48525,0.51475
190,3.316125579,0.2636,0.1692,,0.4328,0.609057301,0.390942699
195,3.403392041,0.3364,0.1307,,0.4671,0.720188396,0.279811604
200,3.490658504,0.4314,0.0804,,0.5118,0.842907386,0.157092614
205,3.577924967,0.4741,0.0578,,0.5319,0.891332957,0.108667043
210,3.665191429,0.5268,0.0298,,0.5566,0.946460654,0.053539346
215,3.752457892,0.5481,0.0183,,0.5664,0.967690678,0.032309322
220,3.839724354,0.5398,0.0222,,0.562,0.960498221,0.039501779
225,3.926990817,0.508,0.0394,,0.5474,0.928023383,0.071976617
230,4.01425728,0.4515,0.0689,,0.5204,0.867601845,0.132398155
235,4.101523742,0.3557,0.1192,,0.4749,0.748999789,0.251000211
240,4.188790205,0.2803,0.1593,,0.4396,0.637625114,0.362374886
245,4.276056667,0.2171,0.1921,,0.4092,0.53054741,0.46945259
250,4.36332313,0.1355,0.2355,,0.371,0.365229111,0.634770889
255,4.450589593,0.0866,0.2611,,0.3477,0.249065286,0.750934714
260,4.537856055,0.0288,0.2921,,0.3209,0.089747585,0.910252415
265,4.625122518,0.0188,0.2978,,0.3166,0.059380922,0.940619078
270,4.71238898,0.0364,0.2891,,0.3255,0.111827957,0.888172043
275,4.799655443,0.0644,0.2752,,0.3396,0.189634865,0.810365135
280,4.886921906,0.1686,0.2222,,0.3908,0.431422723,0.568577277
285,4.974188368,0.2335,0.1894,,0.4229,0.552139986,0.447860014
290,5.061454831,0.341,0.1337,,0.4747,0.718348431,0.281651569
295,5.148721293,0.4339,0.0864,,0.5203,0.833941957,0.166058043
300,5.235987756,0.505,0.0526,,0.5576,0.905667145,0.094332855
305,5.323254219,0.5264,0.04,,0.5664,0.929378531,0.070621469
310,5.410520681,0.5733,0.018,,0.5913,0.9695586,0.0304414
315,5.497787144,0.567,0.0228,,0.5898,0.961342828,0.038657172
320,5.585053606,0.5335,0.0412,,0.5747,0.928310423,0.071689577
325,5.672320069,0.4963,0.0611,,0.5574,0.890383925,0.109616075
330,5.759586532,0.4004,0.1114,,0.5118,0.78233685,0.21766315
335,5.846852994,0.3268,0.1499,,0.4767,0.685546465,0.314453535
340,5.934119457,0.2494,0.1903,,0.4397,0.567204912,0.432795088
345,6.021385919,0.2021,0.2147,,0.4168,0.484884837,0.515115163
350,6.108652382,0.1774,0.2282,,0.4056,0.437376726,0.562623274
355,6.195918845,0.1786,0.2267,,0.4053,0.440661239,0.559338761
360,6.283185307,0.2004,0.2156,,0.416,0.481730769,0.518269231
