Angle (degrees),Angle (rads),Perpendicular Power (mW),Parallel Power (mW)
0,0,0.1793,0.2204
5,0.087266463,0.2406,0.1879
10,0.174532925,0.3134,0.149
15,0.261799388,0.3619,0.1234
20,0.34906585,0.4619,0.0701
25,0.436332313,0.4954,0.0521
30,0.523598776,0.5435,0.0271
35,0.610865238,0.5582,0.0192
40,0.698131701,0.5469,0.0249
45,0.785398163,0.508,0.046
50,0.872664626,0.449,0.0773
55,0.959931089,0.3962,0.1057
60,1.047197551,0.295,0.1599
65,1.134464014,0.2021,0.2096
70,1.221730476,0.0945,0.2674
75,1.308996939,0.0569,0.2885
80,1.396263402,0.0192,0.3092
85,1.483529864,0.0192,0.3101
90,1.570796327,0.0477,0.2969
95,1.658062789,0.1201,0.2602
100,1.745329252,0.1941,0.2219
105,1.832595715,0.2669,0.1834
110,1.919862177,0.3716,0.1288
115,2.00712864,0.4586,0.0834
120,2.094395102,0.5293,0.0457
125,2.181661565,0.5737,0.0213
130,2.268928028,0.5812,0.0168
135,2.35619449,0.5628,0.0252
140,2.443460953,0.5084,0.0517
145,2.530727415,0.4573,0.077
150,2.617993878,0.3649,0.124
155,2.705260341,0.2992,0.1572
160,2.792526803,0.2289,0.1927
165,2.879793266,0.1853,0.2147
170,2.967059728,0.1535,0.2294
175,3.054326191,0.1447,0.2334
180,3.141592654,0.1615,0.2243
185,3.228859116,0.1941,0.2059
190,3.316125579,0.2636,0.1692
195,3.403392041,0.3364,0.1307
200,3.490658504,0.4314,0.0804
205,3.577924967,0.4741,0.0578
210,3.665191429,0.5268,0.0298
215,3.752457892,0.5481,0.0183
220,3.839724354,0.5398,0.0222
225,3.926990817,0.508,0.0394
230,4.01425728,0.4515,0.0689
235,4.101523742,0.3557,0.1192
240,4.188790205,0.2803,0.1593
245,4.276056667,0.2171,0.1921
250,4.36332313,0.1355,0.2355
255,4.450589593,0.0866,0.2611
260,4.537856055,0.0288,0.2921
265,4.625122518,0.0188,0.2978
270,4.71238898,0.0364,0.2891
275,4.799655443,0.0644,0.2752
280,4.886921906,0.1686,0.2222
285,4.974188368,0.2335,0.1894
290,5.061454831,0.341,0.1337
295,5.148721293,0.4339,0.0864
300,5.235987756,0.505,0.0526
305,5.323254219,0.5264,0.04
310,5.410520681,0.5733,0.018
315,5.497787144,0.567,0.0228
320,5.585053606,0.5335,0.0412
325,5.672320069,0.4963,0.0611
330,5.759586532,0.4004,0.1114
335,5.846852994,0.3268,0.1499
340,5.934119457,0.2494,0.1903
345,6.021385919,0.2021,0.2147
350,6.108652382,0.1774,0.2282
355,6.195918845,0.1786,0.2267
360,6.283185307,0.2004,0.2156
